rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,description
1,cristiano,92,3.3k,475.8m,8.7m,1.39%,6.5m,29.0b,Spain,"Influencer cristiano from Spain has 475.8m followers and an influence score of 92. They have posted 3.3k times, average 8.7m likes per post, and maintain an engagement rate of 1.39%%. Their latest posts average around 6.5m likes in total."
2,kyliejenner,91,6.9k,366.2m,8.3m,1.62%,5.9m,57.4b,United States,"Influencer kyliejenner from United States has 366.2m followers and an influence score of 91. They have posted 6.9k times, average 8.3m likes per post, and maintain an engagement rate of 1.62%%. Their latest posts average around 5.9m likes in total."
3,leomessi,90,0.89k,357.3m,6.8m,1.24%,4.4m,6.0b,N/A,"Influencer leomessi from N/A has 357.3m followers and an influence score of 90. They have posted 0.89k times, average 6.8m likes per post, and maintain an engagement rate of 1.24%%. Their latest posts average around 4.4m likes in total."
4,selenagomez,93,1.8k,342.7m,6.2m,0.97%,3.3m,11.5b,United States,"Influencer selenagomez from United States has 342.7m followers and an influence score of 93. They have posted 1.8k times, average 6.2m likes per post, and maintain an engagement rate of 0.97%%. Their latest posts average around 3.3m likes in total."
5,therock,91,6.8k,334.1m,1.9m,0.20%,665.3k,12.5b,United States,"Influencer therock from United States has 334.1m followers and an influence score of 91. They have posted 6.8k times, average 1.9m likes per post, and maintain an engagement rate of 0.20%%. Their latest posts average around 665.3k likes in total."
6,kimkardashian,91,5.6k,329.2m,3.5m,0.88%,2.9m,19.9b,United States,"Influencer kimkardashian from United States has 329.2m followers and an influence score of 91. They have posted 5.6k times, average 3.5m likes per post, and maintain an engagement rate of 0.88%%. Their latest posts average around 2.9m likes in total."
7,arianagrande,92,5.0k,327.7m,3.7m,1.20%,3.9m,18.4b,United States,"Influencer arianagrande from United States has 327.7m followers and an influence score of 92. They have posted 5.0k times, average 3.7m likes per post, and maintain an engagement rate of 1.20%%. Their latest posts average around 3.9m likes in total."
8,beyonce,92,2.0k,272.8m,3.6m,0.76%,2.0m,7.4b,United States,"Influencer beyonce from United States has 272.8m followers and an influence score of 92. They have posted 2.0k times, average 3.6m likes per post, and maintain an engagement rate of 0.76%%. Their latest posts average around 2.0m likes in total."
9,khloekardashian,89,4.1k,268.3m,2.4m,0.35%,926.9k,9.8b,United States,"Influencer khloekardashian from United States has 268.3m followers and an influence score of 89. They have posted 4.1k times, average 2.4m likes per post, and maintain an engagement rate of 0.35%%. Their latest posts average around 926.9k likes in total."
10,justinbieber,91,7.4k,254.5m,1.9m,0.59%,1.5m,13.9b,Canada,"Influencer justinbieber from Canada has 254.5m followers and an influence score of 91. They have posted 7.4k times, average 1.9m likes per post, and maintain an engagement rate of 0.59%%. Their latest posts average around 1.5m likes in total."
11,kendalljenner,90,0.66k,254.0m,5.5m,2.04%,5.1m,3.7b,United States,"Influencer kendalljenner from United States has 254.0m followers and an influence score of 90. They have posted 0.66k times, average 5.5m likes per post, and maintain an engagement rate of 2.04%%. Their latest posts average around 5.1m likes in total."
12,natgeo,91,10.0k,237.0m,302.2k,0.07%,159.3k,3.0b,United States,"Influencer natgeo from United States has 237.0m followers and an influence score of 91. They have posted 10.0k times, average 302.2k likes per post, and maintain an engagement rate of 0.07%%. Their latest posts average around 159.3k likes in total."
13,nike,90,0.95k,234.1m,329.0k,0.08%,181.8k,313.6m,United States,"Influencer nike from United States has 234.1m followers and an influence score of 90. They have posted 0.95k times, average 329.0k likes per post, and maintain an engagement rate of 0.08%%. Their latest posts average around 181.8k likes in total."
14,taylorswift,91,0.53k,222.2m,2.4m,1.01%,2.3m,1.3b,United States,"Influencer taylorswift from United States has 222.2m followers and an influence score of 91. They have posted 0.53k times, average 2.4m likes per post, and maintain an engagement rate of 1.01%%. Their latest posts average around 2.3m likes in total."
15,jlo,89,3.2k,220.4m,1.7m,0.62%,1.4m,5.3b,United States,"Influencer jlo from United States has 220.4m followers and an influence score of 89. They have posted 3.2k times, average 1.7m likes per post, and maintain an engagement rate of 0.62%%. Their latest posts average around 1.4m likes in total."
16,virat.kohli,87,1.4k,211.8m,3.5m,0.96%,2.0m,4.9b,N/A,"Influencer virat.kohli from N/A has 211.8m followers and an influence score of 87. They have posted 1.4k times, average 3.5m likes per post, and maintain an engagement rate of 0.96%%. Their latest posts average around 2.0m likes in total."
17,nickiminaj,90,6.4k,201.6m,2.1m,0.53%,1.0m,13.5b,United States,"Influencer nickiminaj from United States has 201.6m followers and an influence score of 90. They have posted 6.4k times, average 2.1m likes per post, and maintain an engagement rate of 0.53%%. Their latest posts average around 1.0m likes in total."
18,kourtneykardash,89,4.4k,195.2m,1.8m,0.67%,1.3m,7.7b,United States,"Influencer kourtneykardash from United States has 195.2m followers and an influence score of 89. They have posted 4.4k times, average 1.8m likes per post, and maintain an engagement rate of 0.67%%. Their latest posts average around 1.3m likes in total."
19,mileycyrus,89,1.2k,181.5m,1.3m,0.51%,913.6k,1.6b,N/A,"Influencer mileycyrus from N/A has 181.5m followers and an influence score of 89. They have posted 1.2k times, average 1.3m likes per post, and maintain an engagement rate of 0.51%%. Their latest posts average around 913.6k likes in total."
20,neymarjr,90,5.3k,177.1m,2.7m,1.09%,1.9m,14.1b,Brazil,"Influencer neymarjr from Brazil has 177.1m followers and an influence score of 90. They have posted 5.3k times, average 2.7m likes per post, and maintain an engagement rate of 1.09%%. Their latest posts average around 1.9m likes in total."
21,katyperry,92,2.0k,170.3m,715.0k,0.16%,265.1k,1.5b,N/A,"Influencer katyperry from N/A has 170.3m followers and an influence score of 92. They have posted 2.0k times, average 715.0k likes per post, and maintain an engagement rate of 0.16%%. Their latest posts average around 265.1k likes in total."
22,kevinhart4real,88,8.2k,152.0m,522.0k,0.08%,115.2k,4.3b,United States,"Influencer kevinhart4real from United States has 152.0m followers and an influence score of 88. They have posted 8.2k times, average 522.0k likes per post, and maintain an engagement rate of 0.08%%. Their latest posts average around 115.2k likes in total."
